[],123456,근데 줄 존버한다면 화장실 밥은 어떡함,수업은  짼다치고 화장실은 교대로 밥은 걍샌드위치로 대체,2019-06-05,5
[],123456,중대맛집,내일 여자친구 놀러오는데 데려갈만한 맛집 있을까요 진심으로 데려갈만한데가 생각이 안나는데 추천해주세요,2019-06-05,5
[],123456,잔나비 공연중 취객난입 ,정글 노래 부르더니 정글로 가니까 말리지 말라고 선언,2019-06-05,5
[],123456,내일도 운동장에서 영화 상영회 하나요,내일도 운동장에서 영화 상영회 하나요 너무너무 보고 싶다링,2019-06-05,5
[],123456,뭐가 문젠지 모르겠다,축제 줄 존나 밀고 이지랄하는거보면 한국이 문젠건지 중앙대가 문젠건지두군데 다 속해있는 내 인생이 레전드다,2019-06-05,5
[],123456,나 먼저 줄서고있는데,친구가 늦게와서 줄에 들어오면 새치기야,2019-06-05,5
[],123456,공연 줄 몇시부터 설수있지,,2019-06-05,5
[],123456,신림vs상도,상도보다저렴하고 좋은집  학교에만 발목잡히지않는삶 대신 통학시간과 교통비 부담 vs 비싸지만 가까움 잠많이잘수있음 자취하는동기들많아서 안외로움 그러다가 학교밖에 안벗어날수도2학년때 친구랑상도에서살았는데 진짜재미는있었는데 특별한일아니면 흑석상도범위안에서만놀앗음 피방도코앞이라 둘이서밤에 겜도하러가고 생활맥주도바로앞이라 맥주도종종먹음 근처사는동기들이랑  추억많고 학점도 35는챙겼는데 인간관계가 별로 안넓어졋음 신림산다고 넓어진다는보장은없지만 근처에 색다른알바도해보고 연합동아리도해보고 학교갈때 통학하니까 깨끗하게꾸며서갈거아니야 그럼 꾸민게아까워서 바로집가서낮잠은안자겟지 그렇게 좀더 여러가지하면서 살고싶긴함 동아리 대외활동 알바 등등물론상도에살면서도 다할순잇음 그래서고민중  근데집좋은게좋긴한뎅 ,2019-06-05,5
[],123456,재업금요일 새벽존버 쌈자바라기 동지 구해요,일단 전 19 남자구요 친화력은 뒤지게 좋아서 캔맥 까고 얘기 나누면서 존버하다가 1 2 교시 때문에 짐놔두고 다녀올라하거든요문제는 제 친구들은 레벨만 관심있는지 쌈자 존버는 아무도 없어서 기왕 축젠데 친해지기도 할겸 앞자리에서 떼창할 쌈자바라기 구해요학번 솔직히 17 18 19 까지는 부담 전혀 없는데 그 위로는 제가 편하게 못대할거같아서암튼 의향 있으시면 댓이나 쪽지좀 혼축 죽어도 시른것,2019-06-05,5
[],123456,Avengers,Assemble,2019-06-05,5
[],123456,내일 줄 존버할사람 시간대 말해보셈,난 일단 7시,2019-06-05,5
[],123456,같이 축제 줄 기다릴 사람,너무 이른 새벽은 말고 아침부터 기다리고 싶은데 같이 볼 사람  같은 여자면 좋겟다,2019-06-05,5
[],123456,주변에 28사단 입대한 사람 없니,내 남동생 28사단 갈거 같은데 거기 사건사고 많은곳이라 걱정되서 죽겟다 올해 초에 사단장님 또 바뀐거 같은데 어떤지 아는 사람 있니,2019-06-05,5
[],123456,아 액트 진짜,계절때 들으려고 신청해놨는데 진짜듣기싫다후졸업하기 위해서 아둥바둥 해야 한다니이걸 왜 12학년때 안했을까액트 영상편집 할줄 알아야 하나매주 연기하는거야아으아으 완전공돌이 성격인데 ,2019-06-05,5
[],123456,we,경영 we tv 나오는모습은 인자한데 이중인격인거야,2019-06-05,5
[],123456,오늘 학교에서 오후에,즐길만한 부스나 이벤트있어요,2019-06-05,5
[],123456,학교 앞 자취방 너무 비싸다,집에서 학교 왕복 4시간이여서자취방 알아보는데정말 진땀난다 너무 비싸엄마아빠미안해요,2019-06-05,5
[],123456,남자가 여자 호감으로 생각하는건 어떻게 암,그니까 얘랑 사귀고싶다 이런거 말고얘정도면 괜찮지 이정도로 생각하는거내가 관심있는애가 생기니까 궁금해다른 남자애랑 셋이서 맨날 보면서 같이 하는거 있는데 거기선 농담하고 좋은데둘이 있으면 대화는 잘하는데 살짝 어색함,2019-06-05,5
[],123456,상도역에 폐건전지 버리는데 있어,동사무소에는 있다는데 왜 못찾겠지 ,2019-06-05,5
[],123456,금욜에 일홉 어디함, 과랑 장소좀 ,2019-06-05,5
[],123456,너무 화가나서 글 씁니다 정문에 xxxxx 삼겹살집,오늘 오후 4시 30분쯤 정문 xxxxx라는 고깃집에 삼겹살을 먹으러 갔습니다 다소 이른 시간이라 손님은 저희밖에 없었고 삼겹살 2인분과 공기밥 하나를 시켰습니다나온 삼겹살은 딱봐도 이상했습니다 색이 거의 갈색고동색이었어요 그래도 그냥 냉동삼겹살이라 그런가보다 생각하고 구웠습니다보통 삼겹살 고기 기름에 마늘이랑 김치 구워드시죠 근데 기름이 한방울도 안나왔어요 기름이 너무 심하게 안나와서 마늘을 아예 익힌 고기에다 문질렀는데도 없었습니다 기름받이가 필요없었어요 그냥원래 기름이 없는 고긴가 하고 먹었는데 돼지 누린내와 역한 비린내가 너무 심해서 도저히 먹을 수 없는 상태였습니다 마늘이랑 먹어도 누린내에 마늘향이 묻힐정도였구요 원래 이런 맛이라고 하기엔 예전에 동아리 단체 회식 왔을땐 이런걸 전혀 느끼지 못했어요상추도 반은 시들시들하고 나머지 절반은 아예 음식물 쓰레기 상태였습니다 한지를 물에 적신것마냥 너덜너덜해서 무슨 걸레짝 같았어요 이건 아니다싶어서 사장님을 불렀습니다 세 점정도 먹었습니다고기에서 기름이 전혀 나오지 않고 누린내와 비린내가 너무 심해서 도저히 먹을 수가 없다 상추도 상태가 너무 심하다 한번 만져보시라 바꿔달라고 요구했습니다사장님은 죄송하다거나 직접먹어 확인해보겠다라는 말 전혀 없이 바로 알겠다며 고기와 상추를 가져갔습니다새로 갔다주신 고기는 이전 고기와 달리 붉은기가 돌았고 고기굽는데 기름이 튈 정도로 기름도 많이 나왔습니다일반 삼겹살정도로 상추는 일반상추와 비교해도 정말 아삭하고 신선함이 느껴지는 상추였구요만약 새로 가져다주신 고기와 상추도 비슷한 상태였다면 원래 이런집이거니 생각하고 안먹고 그냥 나왔을테지만 상태가 너무 심각하게 달랐습니다 새로 주신거에 비하면 이전거는 음식물 쓰레기 수준이었어요 살다살다 기름 한방울 안나오는 고기는 처음봅니다 상추도 절반은 바로 음식물 쓰레기통에 넣어야 할 정도였구요대학가에서 학생들 상대로 장사하면서 이러는건 아니라고 생각합니다 혹시 과거의 이 고깃집에서 저와 비슷한 경험이 있으시거나 후에 생길 피해자를 막기 위해 공론화합니다 가지 말란 말은 안하겠습니다 혹시라도 가서 이런일이 생긴다면 그냥 나오시거나 바꿔달라고 요구하세요 저희한테만 이런거라면 다행이구요읽어주셔서 감사합니다,2019-06-05,5
[],123456,축제,연예인 공연보러 혼자 가는 사람도 많나여,2019-06-05,5
[],123456,죽지못해 산다,부모님은 날 뭔 생각으로 낳은걸까남들 낳으니까 낳은거겠지,2019-06-05,5
[],123456,공대생인데 발표잘하고싶어,그래서 팀플발표 연습도할겸 걍 내가한다고  하는데 발표 연습할 방법같은거없나요,2019-06-05,5
[],123456,김교수님 한국사레포트몇장정도써야함,기수강자 헬프 글만 넣을거야,2019-06-05,5
